#X,VehDyn_Parameters->yaw.angle_Angle(abs),VehDyn_Parameters->vehicle.x_Displacement(abs),VehDyn_Parameters->vehicle.y_Displacement(abs)
#Time(sec),Angle(degrees)_Real,Length(mm)_Real,Length(mm)_Real
1.000000E+00,-193.066239,-16704.314453,488.894196
1.010000E+00,-193.424837,-16849.488281,517.543030
1.020000E+00,-193.784242,-16994.480469,546.894653
1.030000E+00,-194.144002,-17139.277344,576.957642
1.040000E+00,-194.503734,-17283.857422,607.737549
1.050000E+00,-194.863166,-17428.195313,639.236084
1.060000E+00,-195.222215,-17572.263672,671.451660
1.070000E+00,-195.581074,-17716.044922,704.385071
1.080000E+00,-195.940041,-17859.525391,738.031982
1.090000E+00,-196.299555,-18002.703125,772.386475
1.100000E+00,-196.660052,-18145.583984,807.442627
1.110000E+00,-197.021902,-18288.183594,843.199402
1.120000E+00,-197.385227,-18430.513672,879.657104
1.130000E+00,-197.749891,-18572.585938,916.820007
1.140000E+00,-198.115497,-18714.406250,954.687927
1.150000E+00,-198.481431,-18855.972656,993.261597
1.160000E+00,-198.847038,-18997.271484,1032.543823
1.170000E+00,-199.211756,-19138.287109,1072.533813
1.180000E+00,-199.575218,-19278.996094,1113.229492
1.190000E+00,-199.937382,-19419.378906,1154.626587
1.200000E+00,-200.298549,-19559.416016,1196.725952
1.210000E+00,-200.659210,-19699.099609,1239.524536
1.220000E+00,-201.020021,-19838.425781,1283.019043
1.230000E+00,-201.381653,-19977.398438,1327.207275
1.240000E+00,-201.744595,-20116.025391,1372.091187
1.250000E+00,-202.109068,-20254.316406,1417.674194
1.260000E+00,-202.475029,-20392.275391,1463.958984
1.270000E+00,-202.841961,-20529.900391,1510.946533
1.280000E+00,-203.205778,-20667.482422,1558.457397
1.290000E+00,-203.573952,-20804.839844,1606.708862
1.300000E+00,-203.941758,-20941.820313,1655.624756
1.310000E+00,-204.306872,-21078.376953,1705.165649
1.320000E+00,-204.669187,-21214.492188,1755.331909
1.330000E+00,-205.029288,-21350.158203,1806.135376
1.340000E+00,-205.388638,-21485.400391,1857.590576
1.350000E+00,-205.748357,-21620.218750,1909.717163
1.360000E+00,-206.109715,-21754.619141,1962.506836
1.370000E+00,-206.473559,-21888.632813,2015.996704
1.380000E+00,-206.839302,-22022.392578,2070.166016
1.390000E+00,-207.206875,-22155.734375,2125.010742
1.400000E+00,-207.575692,-22288.664063,2180.528320
1.410000E+00,-207.944918,-22421.189453,2236.725098
