#X,VehDyn_Parameters->yaw.angle_Angle(abs),VehDyn_Parameters->vehicle.x_Displacement(abs),VehDyn_Parameters->vehicle.y_Displacement(abs)
#Time(sec),Angle(degrees)_Real,Length(mm)_Real,Length(mm)_Real
4.980000E+00,-189.641336,-62256.085938,24881.994141
4.990000E+00,-189.640011,-62383.097656,24903.593750
5.000000E+00,-189.639028,-62510.152344,24925.187500
5.010000E+00,-189.638235,-62637.253906,24946.777344
5.020000E+00,-189.637484,-62764.394531,24968.365234
5.030000E+00,-189.636596,-62891.570313,24989.951172
5.040000E+00,-189.635476,-63018.769531,25011.539063
5.050000E+00,-189.634028,-63145.988281,25033.132813
5.060000E+00,-189.632238,-63273.210938,25054.730469
5.070000E+00,-189.630148,-63400.437500,25076.333984
5.080000E+00,-189.627840,-63527.656250,25097.943359
5.090000E+00,-189.625490,-63654.871094,25119.554688
5.100000E+00,-189.623236,-63782.093750,25141.169922
5.110000E+00,-189.621228,-63909.324219,25162.783203
5.120000E+00,-189.619548,-64036.574219,25184.394531
5.130000E+00,-189.618264,-64163.847656,25206.000000
5.140000E+00,-189.617348,-64291.156250,25227.599609
5.150000E+00,-189.616720,-64418.507813,25249.195313
5.160000E+00,-189.616228,-64545.902344,25270.789063
5.170000E+00,-189.615723,-64673.339844,25292.378906
5.180000E+00,-189.615040,-64800.808594,25313.970703
5.190000E+00,-189.614084,-64928.300781,25335.562500
5.200000E+00,-189.612772,-65055.804688,25357.162109
5.210000E+00,-189.611106,-65183.316406,25378.765625
5.220000E+00,-189.609139,-65310.824219,25400.373047
5.230000E+00,-189.606967,-65438.328125,25421.988281
5.240000E+00,-189.604754,-65565.828125,25443.605469
5.250000E+00,-189.602677,-65693.335938,25465.224609
5.260000E+00,-189.600833,-65820.859375,25486.841797
5.270000E+00,-189.599330,-65948.398438,25508.457031
5.280000E+00,-189.598197,-66075.968750,25530.066406
5.290000E+00,-189.597418,-66203.570313,25551.671875
5.300000E+00,-189.596885,-66331.210938,25573.271484
5.310000E+00,-189.596462,-66458.898438,25594.867188
5.320000E+00,-189.595956,-66586.625000,25616.462891
5.330000E+00,-189.595273,-66714.382813,25638.058594
5.340000E+00,-189.594276,-66842.156250,25659.658203
5.350000E+00,-189.592924,-66969.945313,25681.259766
5.360000E+00,-189.591216,-67097.742188,25702.869141
5.370000E+00,-189.589208,-67225.531250,25724.482422
5.380000E+00,-189.587036,-67353.320313,25746.101563
5.390000E+00,-189.584850,-67481.109375,25767.724609
5.400000E+00,-189.582829,-67608.914063,25789.349609
5.410000E+00,-189.581080,-67736.750000,25810.974609
5.420000E+00,-189.579687,-67864.609375,25832.597656
5.430000E+00,-189.578676,-67992.507813,25854.218750
5.440000E+00,-189.577993,-68120.453125,25875.833984
5.450000E+00,-189.577515,-68248.453125,25897.447266
5.460000E+00,-189.577091,-68376.500000,25919.058594
5.470000E+00,-189.576572,-68504.585938,25940.669922
5.480000E+00,-189.575807,-68632.703125,25962.281250
5.490000E+00,-189.574742,-68760.828125,25983.894531
5.500000E+00,-189.573307,-68888.968750,26005.513672
5.510000E+00,-189.571532,-69017.101563,26027.136719
5.520000E+00,-189.569483,-69145.234375,26048.765625
5.530000E+00,-189.567311,-69273.367188,26070.398438
5.540000E+00,-189.565180,-69401.500000,26092.035156
5.550000E+00,-189.563226,-69529.648438,26113.673828
5.560000E+00,-189.561560,-69657.812500,26135.308594
5.570000E+00,-189.560262,-69785.992188,26156.939453
5.580000E+00,-189.559306,-69914.203125,26178.566406
5.590000E+00,-189.558664,-70042.460938,26200.187500
5.600000E+00,-189.558199,-70170.757813,26221.804688
5.610000E+00,-189.557748,-70299.093750,26243.417969
5.620000E+00,-189.557161,-70427.460938,26265.033203
5.630000E+00,-189.556314,-70555.859375,26286.646484
5.640000E+00,-189.555139,-70684.265625,26308.265625
5.650000E+00,-189.553596,-70812.671875,26329.886719
5.660000E+00,-189.551724,-70941.078125,26351.513672
5.670000E+00,-189.549634,-71069.484375,26373.144531
5.680000E+00,-189.547462,-71197.882813,26394.781250
5.690000E+00,-189.545372,-71326.289063,26416.417969
5.700000E+00,-189.543487,-71454.710938,26438.056641
5.710000E+00,-189.541916,-71583.148438,26459.693359
5.720000E+00,-189.540700,-71711.609375,26481.324219
5.730000E+00,-189.539840,-71840.109375,26502.949219
5.740000E+00,-189.539252,-71968.640625,26524.570313
5.750000E+00,-189.538788,-72097.218750,26546.187500
5.760000E+00,-189.538282,-72225.843750,26567.804688
5.770000E+00,-189.537613,-72354.484375,26589.419922
5.780000E+00,-189.536670,-72483.156250,26611.035156
5.790000E+00,-189.535373,-72611.828125,26632.654297
5.800000E+00,-189.533720,-72740.500000,26654.277344
5.810000E+00,-189.531766,-72869.171875,26675.906250
5.820000E+00,-189.529622,-72997.843750,26697.539063
5.830000E+00,-189.527463,-73126.507813,26719.175781
5.840000E+00,-189.525428,-73255.187500,26740.814453
5.850000E+00,-189.523638,-73383.875000,26762.451172
5.860000E+00,-189.522177,-73512.585938,26784.085938
5.870000E+00,-189.521084,-73641.328125,26805.714844
5.880000E+00,-189.520319,-73770.101563,26827.339844
5.890000E+00,-189.519772,-73898.921875,26848.960938
5.900000E+00,-189.519294,-74027.781250,26870.578125
5.910000E+00,-189.518734,-74156.671875,26892.193359
5.920000E+00,-189.517969,-74285.593750,26913.810547
5.930000E+00,-189.516904,-74414.523438,26935.425781
5.940000E+00,-189.515483,-74543.460938,26957.046875
5.950000E+00,-189.513721,-74672.398438,26978.671875
5.960000E+00,-189.511685,-74801.335938,27000.300781
5.970000E+00,-189.509527,-74930.265625,27021.933594
5.980000E+00,-189.507396,-75059.195313,27043.570313
5.990000E+00,-189.505443,-75188.140625,27065.207031
6.000000E+00,-189.503762,-75317.101563,27086.843750
6.010000E+00,-189.502424,-75446.085938,27108.476563
6.020000E+00,-189.501454,-75575.101563,27130.105469
6.030000E+00,-189.500771,-75704.164063,27151.728516
6.040000E+00,-189.500265,-75833.257813,27173.347656
6.050000E+00,-189.499760,-75962.398438,27194.964844
6.060000E+00,-189.499132,-76091.570313,27216.580078
6.070000E+00,-189.498257,-76220.757813,27238.195313
6.080000E+00,-189.497055,-76349.953125,27259.812500
6.090000E+00,-189.495498,-76479.156250,27281.435547
6.100000E+00,-189.493613,-76608.359375,27303.060547
6.110000E+00,-189.491523,-76737.554688,27324.691406
6.120000E+00,-189.489364,-76866.750000,27346.324219
6.130000E+00,-189.487288,-76995.953125,27367.960938
6.140000E+00,-189.485430,-77125.164063,27389.597656
6.150000E+00,-189.483873,-77254.398438,27411.232422
6.160000E+00,-189.482671,-77383.664063,27432.863281
6.170000E+00,-189.481824,-77512.960938,27454.488281
6.180000E+00,-189.481209,-77642.296875,27476.109375
6.190000E+00,-189.480704,-77771.671875,27497.728516
6.200000E+00,-189.480144,-77901.085938,27519.343750
6.210000E+00,-189.479420,-78030.523438,27540.957031
6.220000E+00,-189.478422,-78159.976563,27562.572266
6.230000E+00,-189.477070,-78289.437500,27584.189453
6.240000E+00,-189.475376,-78418.898438,27605.812500
6.250000E+00,-189.473395,-78548.359375,27627.437500
6.260000E+00,-189.471278,-78677.812500,27649.068359
6.270000E+00,-189.469133,-78807.273438,27670.701172
6.280000E+00,-189.467139,-78936.734375,27692.335938
6.290000E+00,-189.465390,-79066.210938,27713.970703
6.300000E+00,-189.463970,-79195.718750,27735.601563
6.310000E+00,-189.462918,-79325.250000,27757.228516
6.320000E+00,-189.462167,-79454.820313,27778.849609
6.330000E+00,-189.461607,-79584.429688,27800.468750
6.340000E+00,-189.461087,-79714.078125,27822.083984
6.350000E+00,-189.460459,-79843.757813,27843.695313
6.360000E+00,-189.459612,-79973.460938,27865.308594
6.370000E+00,-189.458465,-80103.171875,27886.921875
6.380000E+00,-189.456962,-80232.890625,27908.539063
6.390000E+00,-189.455132,-80362.601563,27930.160156
6.400000E+00,-189.453082,-80492.312500,27951.785156
6.410000E+00,-189.450938,-80622.023438,27973.414063
6.420000E+00,-189.448848,-80751.734375,27995.044922
6.430000E+00,-189.446949,-80881.460938,28016.675781
6.440000E+00,-189.445337,-81011.203125,28038.306641
6.450000E+00,-189.444080,-81140.976563,28059.933594
6.460000E+00,-189.443151,-81270.773438,28081.554688
6.470000E+00,-189.442496,-81400.617188,28103.173828
6.480000E+00,-189.441949,-81530.500000,28124.787109
6.490000E+00,-189.441389,-81660.421875,28146.398438
6.500000E+00,-189.440665,-81790.359375,28168.007813
6.510000E+00,-189.439682,-81920.320313,28189.617188
6.520000E+00,-189.438370,-82050.289063,28211.230469
6.530000E+00,-189.436717,-82180.257813,28232.845703
6.540000E+00,-189.434778,-82310.218750,28254.464844
6.550000E+00,-189.432660,-82440.179688,28276.087891
6.560000E+00,-189.430529,-82570.140625,28297.712891
6.570000E+00,-189.428521,-82700.109375,28319.341797
6.580000E+00,-189.426745,-82830.093750,28340.968750
6.590000E+00,-189.425284,-82960.101563,28362.593750
6.600000E+00,-189.424191,-83090.140625,28384.216797
6.610000E+00,-189.423398,-83220.210938,28405.833984
6.620000E+00,-189.422784,-83350.320313,28427.445313
6.630000E+00,-189.422237,-83480.476563,28449.054688
6.640000E+00,-189.421609,-83610.656250,28470.662109
6.650000E+00,-189.420762,-83740.859375,28492.267578
6.660000E+00,-189.419615,-83871.070313,28513.875000
6.670000E+00,-189.418139,-84001.281250,28535.484375
6.680000E+00,-189.416336,-84131.500000,28557.097656
6.690000E+00,-189.414301,-84261.710938,28578.712891
6.700000E+00,-189.412170,-84391.914063,28600.333984
6.710000E+00,-189.410080,-84522.125000,28621.957031
6.720000E+00,-189.408181,-84652.351563,28643.580078
6.730000E+00,-189.406555,-84782.593750,28665.203125
6.740000E+00,-189.405271,-84912.859375,28686.822266
6.750000E+00,-189.404329,-85043.164063,28708.437500
6.760000E+00,-189.403632,-85173.500000,28730.048828
6.770000E+00,-189.403058,-85303.882813,28751.654297
6.780000E+00,-189.402471,-85434.296875,28773.259766
6.790000E+00,-189.401733,-85564.734375,28794.861328
6.800000E+00,-189.400736,-85695.187500,28816.462891
6.810000E+00,-189.399424,-85825.648438,28838.066406
6.820000E+00,-189.397785,-85956.101563,28859.671875
6.830000E+00,-189.395845,-86086.554688,28881.281250
6.840000E+00,-189.393755,-86217.007813,28902.892578
6.850000E+00,-189.391638,-86347.453125,28924.507813
6.860000E+00,-189.389630,-86477.906250,28946.126953
6.870000E+00,-189.387868,-86608.382813,28967.744141
6.880000E+00,-189.386406,-86738.882813,28989.359375
6.890000E+00,-189.385300,-86869.406250,29010.972656
6.900000E+00,-189.384480,-86999.976563,29032.580078
6.910000E+00,-189.383865,-87130.578125,29054.183594
6.920000E+00,-189.383292,-87261.210938,29075.783203
6.930000E+00,-189.382622,-87391.882813,29097.380859
6.940000E+00,-189.381748,-87522.570313,29118.976563
6.950000E+00,-189.380600,-87653.265625,29140.572266
6.960000E+00,-189.379111,-87783.960938,29162.169922
6.970000E+00,-189.377295,-87914.648438,29183.771484
6.980000E+00,-189.375273,-88045.328125,29205.375000
6.990000E+00,-189.373156,-88176.015625,29226.982422
7.000000E+00,-189.371093,-88306.695313,29248.591797
7.010000E+00,-189.369208,-88437.398438,29270.203125
7.020000E+00,-189.367596,-88568.117188,29291.812500
7.030000E+00,-189.366339,-88698.867188,29313.419922
7.040000E+00,-189.365396,-88829.648438,29335.023438
7.050000E+00,-189.364686,-88960.468750,29356.623047
7.060000E+00,-189.364099,-89091.320313,29378.216797
7.070000E+00,-189.363484,-89222.210938,29399.808594
7.080000E+00,-189.362705,-89353.117188,29421.398438
7.090000E+00,-189.361681,-89484.046875,29442.986328
7.100000E+00,-189.360342,-89614.968750,29464.576172
7.110000E+00,-189.358676,-89745.890625,29486.167969
7.120000E+00,-189.356736,-89876.804688,29507.761719
7.130000E+00,-189.354646,-90007.710938,29529.359375
7.140000E+00,-189.352556,-90138.625000,29550.960938
7.150000E+00,-189.350589,-90269.546875,29572.562500
7.160000E+00,-189.348854,-90400.484375,29594.166016
7.170000E+00,-189.347433,-90531.445313,29615.765625
7.180000E+00,-189.346354,-90662.437500,29637.363281
7.190000E+00,-189.345562,-90793.468750,29658.957031
7.200000E+00,-189.344933,-90924.539063,29680.544922
7.210000E+00,-189.344319,-91055.648438,29702.130859
7.220000E+00,-189.343622,-91186.773438,29723.712891
7.230000E+00,-189.342707,-91317.921875,29745.294922
7.240000E+00,-189.341491,-91449.070313,29766.875000
7.250000E+00,-189.339934,-91580.226563,29788.457031
7.260000E+00,-189.338089,-91711.382813,29810.044922
7.270000E+00,-189.336027,-91842.546875,29831.636719
7.280000E+00,-189.333896,-91973.726563,29853.234375
7.290000E+00,-189.331847,-92104.914063,29874.835938
7.300000E+00,-189.330002,-92236.132813,29896.439453
7.310000E+00,-189.328472,-92367.382813,29918.044922
7.320000E+00,-189.327270,-92498.671875,29939.648438
7.330000E+00,-189.326382,-92630.015625,29961.251953
7.340000E+00,-189.325713,-92761.398438,29982.851563
7.350000E+00,-189.325139,-92892.828125,30004.449219
7.360000E+00,-189.324511,-93024.296875,30026.044922
7.370000E+00,-189.323705,-93155.796875,30047.640625
7.380000E+00,-189.322599,-93287.320313,30069.236328
7.390000E+00,-189.321151,-93418.867188,30090.835938
7.400000E+00,-189.319388,-93550.414063,30112.441406
7.410000E+00,-189.317380,-93681.976563,30134.050781
7.420000E+00,-189.315263,-93813.546875,30155.666016
7.430000E+00,-189.313159,-93945.132813,30177.285156
7.440000E+00,-189.311219,-94076.742188,30198.910156
7.450000E+00,-189.309567,-94208.375000,30220.535156
7.460000E+00,-189.308241,-94340.054688,30242.160156
7.470000E+00,-189.307244,-94471.773438,30263.785156
7.480000E+00,-189.306493,-94603.546875,30285.406250
7.490000E+00,-189.305892,-94735.359375,30307.025391
7.500000E+00,-189.305291,-94867.218750,30328.642578
7.510000E+00,-189.304539,-94999.101563,30350.257813
7.520000E+00,-189.303529,-95131.023438,30371.875000
7.530000E+00,-189.302190,-95262.953125,30393.492188
7.540000E+00,-189.300537,-95394.898438,30415.115234
7.550000E+00,-189.298597,-95526.851563,30436.742188
7.560000E+00,-189.296494,-95658.820313,30458.373047
7.570000E+00,-189.294363,-95790.796875,30480.011719
7.580000E+00,-189.292354,-95922.789063,30501.652344
7.590000E+00,-189.290606,-96054.820313,30523.296875
7.600000E+00,-189.289158,-96186.875000,30544.941406
7.610000E+00,-189.288051,-96318.984375,30566.585938
7.620000E+00,-189.287232,-96451.132813,30588.226563
7.630000E+00,-189.286576,-96583.328125,30609.867188
7.640000E+00,-189.285961,-96715.570313,30631.501953
7.650000E+00,-189.285251,-96847.843750,30653.136719
7.660000E+00,-189.284308,-96980.148438,30674.771484
7.670000E+00,-189.283065,-97112.468750,30696.408203
7.680000E+00,-189.281481,-97244.804688,30718.046875
7.690000E+00,-189.279609,-97377.148438,30739.689453
7.700000E+00,-189.277533,-97509.500000,30761.337891
7.710000E+00,-189.275388,-97641.867188,30782.992188
7.720000E+00,-189.273339,-97774.250000,30804.650391
7.730000E+00,-189.271495,-97906.664063,30826.312500
7.740000E+00,-189.269951,-98039.109375,30847.976563
7.750000E+00,-189.268749,-98171.601563,30869.638672
7.760000E+00,-189.267834,-98304.132813,30891.298828
7.770000E+00,-189.267137,-98436.710938,30912.957031
7.780000E+00,-189.266509,-98569.335938,30934.613281
7.790000E+00,-189.265826,-98702.000000,30956.267578
7.800000E+00,-189.264938,-98834.687500,30977.919922
7.810000E+00,-189.263763,-98967.398438,30999.572266
7.820000E+00,-189.262261,-99100.125000,31021.228516
7.830000E+00,-189.260444,-99232.859375,31042.888672
7.840000E+00,-189.258422,-99365.601563,31064.552734
7.850000E+00,-189.256277,-99498.359375,31086.222656
7.860000E+00,-189.254187,-99631.132813,31107.898438
7.870000E+00,-189.252289,-99763.937500,31129.578125
7.880000E+00,-189.250663,-99896.773438,31151.257813
7.890000E+00,-189.249379,-100029.648438,31172.939453
7.900000E+00,-189.248395,-100162.570313,31194.619141
7.910000E+00,-189.247644,-100295.531250,31216.296875
7.920000E+00,-189.247002,-100428.546875,31237.972656
7.930000E+00,-189.246333,-100561.593750,31259.644531
7.940000E+00,-189.245486,-100694.671875,31281.316406
7.950000E+00,-189.244379,-100827.773438,31302.986328
7.960000E+00,-189.242931,-100960.890625,31324.660156
7.970000E+00,-189.241183,-101094.023438,31346.335938
7.980000E+00,-189.239188,-101227.156250,31368.017578
7.990000E+00,-189.237071,-101360.304688,31389.703125
8.000000E+00,-189.234967,-101493.476563,31411.396484
8.010000E+00,-189.233014,-101626.664063,31433.091797
8.020000E+00,-189.231334,-101759.890625,31454.791016
8.030000E+00,-189.229967,-101893.156250,31476.490234
8.040000E+00,-189.228929,-102026.460938,31498.187500
8.050000E+00,-189.228123,-102159.820313,31519.884766
8.060000E+00,-189.227468,-102293.218750,31541.578125
8.070000E+00,-189.226798,-102426.656250,31563.269531
8.080000E+00,-189.225979,-102560.125000,31584.957031
8.090000E+00,-189.224913,-102693.617188,31606.646484
8.100000E+00,-189.223533,-102827.125000,31628.335938
8.110000E+00,-189.221826,-102960.648438,31650.029297
8.120000E+00,-189.219872,-103094.171875,31671.726563
8.130000E+00,-189.217769,-103227.718750,31693.427734
8.140000E+00,-189.215651,-103361.273438,31715.136719
8.150000E+00,-189.213671,-103494.859375,31736.849609
8.160000E+00,-189.211949,-103628.468750,31758.564453
8.170000E+00,-189.210529,-103762.125000,31780.281250
8.180000E+00,-189.209422,-103895.820313,31801.998047
8.190000E+00,-189.208589,-104029.562500,31823.710938
8.200000E+00,-189.207906,-104163.343750,31845.423828
8.210000E+00,-189.207223,-104297.171875,31867.130859
8.220000E+00,-189.206431,-104431.031250,31888.837891
8.230000E+00,-189.205392,-104564.914063,31910.542969
8.240000E+00,-189.204040,-104698.812500,31932.250000
8.250000E+00,-189.202374,-104832.726563,31953.958984
8.260000E+00,-189.200447,-104966.640625,31975.671875
8.270000E+00,-189.198357,-105100.578125,31997.390625
8.280000E+00,-189.196240,-105234.523438,32019.113281
8.290000E+00,-189.194232,-105368.500000,32040.841797
8.300000E+00,-189.192470,-105502.500000,32062.574219
8.310000E+00,-189.191008,-105636.546875,32084.308594
8.320000E+00,-189.189861,-105770.632813,32106.041016
8.330000E+00,-189.188986,-105904.757813,32127.773438
8.340000E+00,-189.188276,-106038.937500,32149.501953
8.350000E+00,-189.187593,-106173.148438,32171.226563
8.360000E+00,-189.186787,-106307.398438,32192.951172
8.370000E+00,-189.185776,-106441.671875,32214.673828
8.380000E+00,-189.184451,-106575.960938,32236.396484
8.390000E+00,-189.182812,-106710.257813,32258.121094
8.400000E+00,-189.180913,-106844.570313,32279.849609
8.410000E+00,-189.178823,-106978.890625,32301.582031
8.420000E+00,-189.176719,-107113.234375,32323.322266
8.430000E+00,-189.174698,-107247.593750,32345.066406
8.440000E+00,-189.172908,-107381.984375,32366.812500
8.450000E+00,-189.171419,-107516.414063,32388.562500
8.460000E+00,-189.170244,-107650.890625,32410.312500
8.470000E+00,-189.169343,-107785.406250,32432.060547
8.480000E+00,-189.168605,-107919.976563,32453.806641
8.490000E+00,-189.167908,-108054.578125,32475.548828
8.500000E+00,-189.167102,-108189.210938,32497.287109
8.510000E+00,-189.166092,-108323.867188,32519.025391
8.520000E+00,-189.164780,-108458.539063,32540.763672
8.530000E+00,-189.163155,-108593.226563,32562.503906
8.540000E+00,-189.161256,-108727.929688,32584.246094
8.550000E+00,-189.159193,-108862.632813,32605.994141
8.560000E+00,-189.157076,-108997.359375,32627.748047
8.570000E+00,-189.155054,-109132.109375,32649.507813
8.580000E+00,-189.153251,-109266.890625,32671.269531
8.590000E+00,-189.151748,-109401.703125,32693.035156
8.600000E+00,-189.150546,-109536.562500,32714.798828
8.610000E+00,-189.149617,-109671.468750,32736.562500
8.620000E+00,-189.148866,-109806.421875,32758.322266
8.630000E+00,-189.148142,-109941.406250,32780.082031
8.640000E+00,-189.147336,-110076.421875,32801.835938
8.650000E+00,-189.146311,-110211.460938,32823.585938
8.660000E+00,-189.145000,-110346.523438,32845.339844
8.670000E+00,-189.143374,-110481.593750,32867.093750
8.680000E+00,-189.141476,-110616.671875,32888.851563
8.690000E+00,-189.139413,-110751.765625,32910.613281
8.700000E+00,-189.137295,-110886.875000,32932.382813
8.710000E+00,-189.135287,-111022.007813,32954.152344
8.720000E+00,-189.133484,-111157.171875,32975.929688
8.730000E+00,-189.131968,-111292.375000,32997.710938
8.740000E+00,-189.130766,-111427.617188,33019.488281
8.750000E+00,-189.129837,-111562.906250,33041.265625
8.760000E+00,-189.129058,-111698.242188,33063.039063
8.770000E+00,-189.128321,-111833.609375,33084.812500
8.780000E+00,-189.127487,-111969.007813,33106.582031
8.790000E+00,-189.126449,-112104.429688,33128.347656
8.800000E+00,-189.125110,-112239.875000,33150.113281
8.810000E+00,-189.123471,-112375.320313,33171.882813
8.820000E+00,-189.121572,-112510.781250,33193.652344
8.830000E+00,-189.119496,-112646.257813,33215.429688
8.840000E+00,-189.117392,-112781.750000,33237.210938
8.850000E+00,-189.115384,-112917.265625,33258.996094
8.860000E+00,-189.113595,-113052.820313,33280.785156
8.870000E+00,-189.112092,-113188.406250,33302.578125
8.880000E+00,-189.110904,-113324.039063,33324.371094
8.890000E+00,-189.109961,-113459.710938,33346.164063
8.900000E+00,-189.109182,-113595.429688,33367.953125
8.910000E+00,-189.108445,-113731.187500,33389.738281
8.920000E+00,-189.107598,-113866.968750,33411.519531
8.930000E+00,-189.106519,-114002.773438,33433.300781
8.940000E+00,-189.105166,-114138.601563,33455.078125
8.950000E+00,-189.103513,-114274.437500,33476.859375
8.960000E+00,-189.101587,-114410.281250,33498.644531
8.970000E+00,-189.099511,-114546.140625,33520.433594
8.980000E+00,-189.097407,-114682.015625,33542.230469
8.990000E+00,-189.095413,-114817.921875,33564.027344
9.000000E+00,-189.093651,-114953.859375,33585.832031
9.010000E+00,-189.092162,-115089.835938,33607.640625
9.020000E+00,-189.090987,-115225.859375,33629.445313
9.030000E+00,-189.090044,-115361.921875,33651.253906
9.040000E+00,-189.089252,-115498.031250,33673.054688
9.050000E+00,-189.088487,-115634.171875,33694.851563
9.060000E+00,-189.087599,-115770.335938,33716.648438
9.070000E+00,-189.086493,-115906.531250,33738.441406
9.080000E+00,-189.085099,-116042.734375,33760.234375
9.090000E+00,-189.083419,-116178.953125,33782.027344
9.100000E+00,-189.081479,-116315.179688,33803.824219
9.110000E+00,-189.079403,-116451.421875,33825.628906
9.120000E+00,-189.077299,-116587.679688,33847.437500
9.130000E+00,-189.075332,-116723.968750,33869.250000
9.140000E+00,-189.073597,-116860.296875,33891.066406
9.150000E+00,-189.072149,-116996.664063,33912.886719
9.160000E+00,-189.071002,-117133.070313,33934.707031
9.170000E+00,-189.070073,-117269.523438,33956.523438
9.180000E+00,-189.069294,-117406.015625,33978.339844
9.190000E+00,-189.068502,-117542.546875,34000.152344
9.200000E+00,-189.067587,-117679.101563,34021.960938
9.210000E+00,-189.066439,-117815.679688,34043.765625
9.220000E+00,-189.065005,-117952.265625,34065.570313
9.230000E+00,-189.063270,-118088.867188,34087.378906
9.240000E+00,-189.061303,-118225.484375,34109.187500
9.250000E+00,-189.059213,-118362.109375,34131.003906
9.260000E+00,-189.057136,-118498.757813,34152.828125
9.270000E+00,-189.055197,-118635.445313,34174.652344
9.280000E+00,-189.053489,-118772.164063,34196.484375
9.290000E+00,-189.052082,-118908.921875,34218.316406
9.300000E+00,-189.050962,-119045.718750,34240.152344
9.310000E+00,-189.050047,-119182.570313,34261.980469
9.320000E+00,-189.049254,-119319.453125,34283.808594
9.330000E+00,-189.048421,-119456.367188,34305.632813
9.340000E+00,-189.047465,-119593.304688,34327.453125
9.350000E+00,-189.046263,-119730.265625,34349.273438
9.360000E+00,-189.044774,-119867.234375,34371.089844
9.370000E+00,-189.042998,-120004.218750,34392.910156
9.380000E+00,-189.041003,-120141.218750,34414.734375
9.390000E+00,-189.038913,-120278.226563,34436.562500
9.400000E+00,-189.036851,-120415.265625,34458.398438
9.410000E+00,-189.034952,-120552.335938,34480.238281
9.420000E+00,-189.033313,-120689.445313,34502.082031
9.430000E+00,-189.031947,-120826.593750,34523.925781
9.440000E+00,-189.030854,-120963.789063,34545.773438
9.450000E+00,-189.029966,-121101.023438,34567.613281
9.460000E+00,-189.029160,-121238.296875,34589.453125
9.470000E+00,-189.028313,-121375.593750,34611.289063
9.480000E+00,-189.027288,-121512.921875,34633.121094
9.490000E+00,-189.026032,-121650.257813,34654.953125
9.500000E+00,-189.024474,-121787.617188,34676.781250
9.510000E+00,-189.022644,-121924.976563,34698.613281
9.520000E+00,-189.020636,-122062.359375,34720.449219
9.530000E+00,-189.018546,-122199.757813,34742.289063
9.540000E+00,-189.016510,-122337.179688,34764.136719
9.550000E+00,-189.014666,-122474.640625,34785.992188
9.560000E+00,-189.013068,-122612.140625,34807.847656
9.570000E+00,-189.011770,-122749.679688,34829.703125
9.580000E+00,-189.010718,-122887.257813,34851.558594
9.590000E+00,-189.009844,-123024.882813,34873.414063
9.600000E+00,-189.009025,-123162.539063,34895.265625
9.610000E+00,-189.008123,-123300.218750,34917.109375
9.620000E+00,-189.007044,-123437.921875,34938.953125
9.630000E+00,-189.005705,-123575.640625,34960.792969
9.640000E+00,-189.004066,-123713.375000,34982.632813
9.650000E+00,-189.002194,-123851.117188,35004.476563
9.660000E+00,-189.000145,-123988.875000,35026.324219
9.670000E+00,-188.998069,-124126.656250,35048.175781
9.680000E+00,-188.996074,-124264.460938,35070.035156
9.690000E+00,-188.994285,-124402.304688,35091.898438
9.700000E+00,-188.992769,-124540.195313,35113.765625
9.710000E+00,-188.991526,-124678.117188,35135.636719
9.720000E+00,-188.990515,-124816.085938,35157.500000
9.730000E+00,-188.989654,-124954.093750,35179.363281
9.740000E+00,-188.988807,-125092.132813,35201.222656
9.750000E+00,-188.987851,-125230.195313,35223.078125
9.760000E+00,-188.986690,-125368.273438,35244.929688
9.770000E+00,-188.985255,-125506.367188,35266.781250
9.780000E+00,-188.983548,-125644.476563,35288.632813
9.790000E+00,-188.981608,-125782.593750,35310.484375
9.800000E+00,-188.979545,-125920.734375,35332.343750
9.810000E+00,-188.977483,-126058.898438,35354.210938
9.820000E+00,-188.975543,-126197.085938,35376.082031
9.830000E+00,-188.973822,-126335.320313,35397.957031
9.840000E+00,-188.972387,-126473.593750,35419.832031
9.850000E+00,-188.971213,-126611.914063,35441.710938
9.860000E+00,-188.970243,-126750.265625,35463.589844
9.870000E+00,-188.969382,-126888.664063,35485.460938
9.880000E+00,-188.968508,-127027.078125,35507.328125
9.890000E+00,-188.967483,-127165.523438,35529.191406
9.900000E+00,-188.966240,-127303.984375,35551.054688
9.910000E+00,-188.964724,-127442.460938,35572.914063
9.920000E+00,-188.962934,-127580.945313,35594.777344
9.930000E+00,-188.960940,-127719.445313,35616.640625
9.940000E+00,-188.958877,-127857.968750,35638.511719
9.950000E+00,-188.956842,-127996.515625,35660.390625
9.960000E+00,-188.954957,-128135.101563,35682.273438
9.970000E+00,-188.953331,-128273.726563,35704.160156
9.980000E+00,-188.951979,-128412.390625,35726.046875
9.990000E+00,-188.950872,-128551.101563,35747.937500
1.000000E+01,-188.949930,-128689.843750,35769.820313
1.001000E+01,-188.949069,-128828.625000,35791.703125
1.002000E+01,-188.948140,-128967.429688,35813.578125
1.003000E+01,-188.947034,-129106.250000,35835.453125
1.004000E+01,-188.945681,-129245.085938,35857.320313
1.005000E+01,-188.944056,-129383.937500,35879.191406
1.006000E+01,-188.942198,-129522.804688,35901.062500
1.007000E+01,-188.940163,-129661.687500,35922.941406
1.008000E+01,-188.938086,-129800.593750,35944.824219
1.009000E+01,-188.936092,-129939.531250,35966.710938
1.010000E+01,-188.934302,-130078.507813,35988.605469
1.011000E+01,-188.932759,-130217.523438,36010.503906
